City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Aklavik,CA,68.2191,-135.0107,-17.01,94,21,13.82,few clouds
79,Edgewater,US,28.9889,-80.9023,67.89,91,1,6.42,clear sky
80,Tieli,CN,46.95,128.05,19.04,81,91,6.15,overcast clouds
81,Bluff,NZ,-46.6,168.3333,55.8,63,2,16.44,clear sky
82,Bambous Virieux,MU,-20.3428,57.7575,80.37,75,89,6.78,light rain
83,Lubbock,US,33.6001,-101.8338,33.06,42,0,6.06,clear sky
84,Nhulunbuy,AU,-12.2333,136.7667,92.01,58,100,13.8,overcast clouds
85,Dekalb,US,33.7504,-84.2333,55.38,60,100,4.25,overcast clouds
86,Echirolles,FR,45.1333,5.7167,35.98,65,0,3.78,clear sky
87,Port Elizabeth,ZA,-33.918,25.5701,70.59,89,99,16.13,overcast clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,-15.74,92,5,11.77,clear sky
89,Brae,GB,60.3964,-1.353,44.51,79,6,32.55,clear sky
90,Fortuna,US,40.5982,-124.1573,53.98,52,75,20.71,broken clouds
91,Kahului,US,20.8947,-156.47,74.3,76,47,9.84,scattered clouds
92,Nanortalik,GL,60.1432,-45.2371,11.46,76,100,20.07,overcast clouds
93,Chuy,UY,-33.6971,-53.4616,73.08,91,86,4.74,moderate rain
94,Pimentel,PE,-6.8367,-79.9342,71.98,79,99,10.69,overcast clouds
95,Mazagao,BR,-0.115,-51.2894,73.53,98,99,2.64,overcast clouds
96,Ndele,CF,8.4109,20.6473,69.94,20,35,6.58,scattered clouds
97,Kathmandu,NP,27.7167,85.3167,61.02,55,75,3.44,haze
98,Saint-Augustin,CA,51.226,-58.6502,-9.87,97,77,5.44,broken clouds
99,Airai,TL,-8.9266,125.4092,70.32,66,100,6.64,overcast clouds
100,Caravelas,BR,-17.7125,-39.2481,73.94,84,2,3.51,clear sky
101,Sur,OM,22.5667,59.5289,79.63,41,0,4.68,clear sky
102,Jamestown,US,42.097,-79.2353,24.39,66,75,11.99,broken clouds
103,Kloulklubed,PW,7.0419,134.2556,82.42,78,65,19.46,broken clouds
104,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.36,84,9,0.38,clear sky
105,Inhambane,MZ,-23.865,35.3833,76.95,77,14,7.52,light rain
106,Katsuura,JP,35.1333,140.3,57.06,48,1,24.65,clear sky
107,Timmins,CA,48.4669,-81.3331,19.71,96,100,5.97,snow
108,Djibo,BF,14.1022,-1.6306,71.06,10,4,9.82,clear sky
109,Saint Anthony,US,45.0205,-93.218,26.62,71,0,11.5,clear sky
110,Maymyo,MM,22.0333,96.4667,81.46,21,0,3.8,clear sky
111,Vao,NC,-22.6667,167.4833,79.54,82,100,24.4,moderate rain
112,Asmar,AF,35.0333,71.3581,51.49,24,1,5.12,clear sky
113,Barrow,US,71.2906,-156.7887,5.02,78,0,18.41,clear sky
114,Kindu,CD,-2.95,25.95,68.63,96,100,3.58,overcast clouds
115,Okhotsk,RU,59.3833,143.3,13.66,85,100,8.08,overcast clouds
116,Grand Gaube,MU,-20.0064,57.6608,82.38,77,96,5.01,overcast clouds
117,Yaan,NG,7.3833,8.5667,74.5,63,33,4.25,scattered clouds
118,Hambantota,LK,6.1241,81.1185,88.11,53,12,18.77,few clouds
119,Sobeslav,CZ,49.2599,14.7186,29.48,92,10,4.45,clear sky
120,Kodiak,US,57.79,-152.4072,36.91,70,0,6.91,clear sky
121,Rawson,AR,-43.3002,-65.1023,67.08,42,9,8.14,clear sky
122,Guerrero Negro,MX,27.9769,-114.0611,62.64,43,50,2.8,scattered clouds
123,Tuatapere,NZ,-46.1333,167.6833,61.48,49,0,8.9,clear sky
124,Flin Flon,CA,54.7682,-101.865,-6.81,96,99,5.39,overcast clouds
125,Kaniama,CD,-7.5667,24.1833,65.03,97,99,2.71,light rain
126,Dingle,PH,10.9995,122.6711,86.58,58,78,17.38,broken clouds
127,Huarmey,PE,-10.0681,-78.1522,72.3,84,92,7.07,overcast clouds
128,Alyangula,AU,-13.8483,136.4192,86.99,62,85,12.37,overcast clouds
129,Itoman,JP,26.1247,127.6694,64.36,66,81,11.72,broken clouds
130,Chokurdakh,RU,70.6333,147.9167,-7.47,99,86,7.47,overcast clouds
131,Carnarvon,AU,-24.8667,113.6333,82.47,61,0,14.97,clear sky
132,San Patricio,US,28.017,-97.5169,43.72,88,100,10.02,overcast clouds
133,Kapaa,US,22.0752,-159.319,78.78,76,0,9.22,clear sky
134,Sao Filipe,CV,14.8961,-24.4956,68.43,67,5,14.94,clear sky
135,Harper,LR,4.375,-7.7169,79.0,89,58,8.5,broken clouds
136,Kikwit,CD,-5.041,18.8162,70.68,94,63,2.57,light rain
137,Camacha,PT,33.0833,-16.3333,56.95,66,56,17.0,broken clouds
138,Nelson Bay,AU,-32.7167,152.15,73.49,76,100,7.58,light rain
139,Saint-Pierre,RE,-21.3393,55.4781,80.29,77,91,5.95,light rain
140,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,20,29.3,few clouds
141,Olafsvik,IS,64.8945,-23.7142,32.04,57,97,9.26,heavy snow
142,Erenhot,CN,43.6475,111.9767,25.45,67,77,3.76,broken clouds
143,Lebu,CL,-37.6167,-73.65,56.62,91,20,5.03,few clouds
144,Codrington,AU,-38.2667,141.9667,69.28,73,100,13.82,moderate rain
145,Constitucion,CL,-35.3333,-72.4167,55.63,90,1,7.11,clear sky
146,Alexandria,EG,31.2156,29.9553,52.03,74,82,5.06,broken clouds
147,Longyearbyen,SJ,78.2186,15.6401,2.23,95,100,4.92,overcast clouds
148,Lata,PT,40.1629,-8.3327,50.41,96,7,2.71,clear sky
